ids	class label
61 1044 180 17 29 200 211 33 3 23 66 4 484 44 10 57 4 417 425 213 36 649 2 36 340 902 3 25 14 103 178 156 44 1 82 609 2135 40 2 39 1 82 102 50 14 230 32 94 660 93 4 609 787 775 1115 553 284 6 8 1 864 194 4 80 76 0 46 90 42 315 76 97 300 10 4 1431 110 16 3 108 1256 7 12 6228 1 754 2262 90 425 2 1021 140 20 137 21 26 39 688 2 21 39 5697 13 81 3626 15 1 1410 73 148 1445 5 140 5 17 29 258 3 0 118 1 6894 7 2006 102 50 230 3 104 57 17 291 110 69 5 35 28 5255 1688 74 4 123 76 4126 10 4 609 787 754	2
21 32 776 53 21 263 12 21 105 552 5698 2 4127 5 55 1243 538 1 31 9 27 24 36 16 6 8 4 36 994 20 2136 1009 1261 53 1 31 8 1482 6 449 37 1 236 8 4 177 323 34 215 22 62 0 2366 2943 5 1 1367 705 6229 28 3 182 5 1 1243 377 17 439 323 89 443 72 5699 28 3 5697 33 1093 81 1972 41 12 34 9 4 200 1243 773 28 17 377 131 4 94 205 632 10 1181 159 1 432 3 23 72 590 15 1243 3031 83 34 26 58 2315 0 41 34 3 42 795 315 459 3031 7808 1591 14 623 15 72 5699 17 73 268 35 1 198 54 21 106	2
112 5 7809 1483 1844 198 121 15 14 461 10 179 21 25 42 1298 50 55 4589 154 378 556 3 101 4 383 331 15 4331 383 2522 2 2855 4332 783 14 461 101 6895 326 11 4 4333 1446 1 6895 326 11 4333 1446 117 24 497 5 2856 40 5 40 6 397 37 687 15 279 2 265 1318 739 1 331 8 251 94 27 14 461 2 3 387 6 97 120 1 69 190 21 108 18 105 23 400 120 9 1 1870 14 461 2 3 32 24 755 2756 15 1 399 7 31 14 461 9 1122 284 33 362 7 1 5700 10 1 98 18 227 338 0 399 1319 605 1 420 1107 1 31 9 94 27 0 0	3
36 2137 30 17 721 146 1592 802 8 219 2463 139 8 1771 2 59 8 1632 3 151 35 64 3493 6896	5
17 9 4 287 286 721 56 3 25 756 2757 60 392 87 0 286 747 37 171 6897 4128 261 498 67 694 286 103 7 39 60 19 15 1 1320 20 169 3032 7 5701 38 6 79 6230 46 897 46 38 6 19 430 2 3122 62 3033 420 37 0 6 19 268 24 418 286 14 0 25 4 1287 1299 2 1003 238 5 6 2 10 1224 1462 281 47 22 18 445 6 0 1 3247 286 8 24 43 214 1 6898 796 525 8 817 2 302 1433 24 5 978 1 456 1320 4334 796 139 12 2668 6 8982 17 29 8983 200 211 20 453 13 124 2007 127 13 102 401 24 48 55 12 97 3626 1 5702 10 4 150 6 4329 11 63 1670	2
219 219 219 169 8 351 1 5256 207 100 1 130 8 41 7 17 697 2 1 754 8 43 2263 4 3 61 161 241 17 29 5 316 8984 22 162 5 495	5
3 957 499 0 283 2 82 6231 770 50 5693 18 23 4 242 253 5 569 50 742 2090 2 1244 71 22 500 141 356 0 31 16 20 256 222 567 30 4 5703 1321 1649 283 2523 1 2758 118 0 19 24 5 978 13 105 157 150 1649 283 757 2 35 57 192 4 0 9 3 68 66 6899 107 380 82 301 30 1 209 3 165 37 5 52 0 2316 2 18 23 923 7 80 212 12 105 113 212 4 80 67 6232 10 389 5703 7810 46 6231 0	4
219 29 114 9 43 7811	4
407 25 4 797 5 614 4 553 44 42 709 5 1067 11 3760 2 23 66 436 10 775 1115 43 534 308 2 1 924 26 36 6 367 24 967 192 13 410 1 1743 23 36 31 3 73 35 408 44 4 187	5
3 47 22 135 228 355 212 57 17 4335 1 583 9 351 1 82 634 26 163 4129 2 1387 24 5 978 12 316 34 79 3370 0 2 18 962 49 594 33 594 2215 5 35 1688 52 5 17 4335 13 151 784 60 3 633	5
3 487 77 17 29 3 68 25 14 736 44 584 11 1 198 141 249 2 18 23 66 469 5 2944 289 1813 51 5 6900 49 328 9 262 560 2 36 11 1 1550 2 775 54 14 202 130 9 1 4130 0 560 229 3123 15 27 31 45 7 14 202 357 11 191 226 1 412 5 629	5
0 79 170 286 3 61 135 12 18 23 1 91 286 11 615 13 23 5 99 6 5 155 126 170 6 9 1 59 9 36 2 3 220 37 3 42 2524 188 3627 1 353 286 156 9 43 678 2 278 29 5 886 41 15 247 46 147 4 592 0 9 69 45 190 3 71 22 37 608 6 48 19 5 337 28 113 158 5 48 34 561 168 488 1198 75 38 13 138 5 35 588 127 297	5
6221 505 53 17 2759 8 51 2 408 2 3 966 11 541 3 61 52 5 17 432 887 33 21 463 6 119 134 46 325 174 152 6 8 125 20 442 3 112 15 4 250 1 2759 79 2183 74 2420 137 6 19 94 205 3 108 18 2367 5257 2857 12 79 5 1612 1 31 2857 3 25 14 1116 231 666 6 8 262 27 2 636 737 3 397 10 164 5 499 16 313 15 265 1 212 3 387 171 32 242 203 301 2 205 2008 201 3 491 4 133 8985 7 2856 16 24 840 14 1895 389 6 411 5 35 12 17 2759 61 23 2464 0 4131 2 6901 4 1213 2945 105 2421 12 19 148 14 1895 17 417 716 16 359 543 212 105 24 35 727 44 17 417 28 3 75 422 15 1 2759 1811 308 1241 0 8 246 38 13 105 24 167 254 432 308 34 215 22 228 347 288 2857 11 14 995 16 34 8 585 7 31 2857 2 1 6902 3921 32 70 337 2 2368 573 1 2091 8 43 1117 3 691 18 73 5258 67 2091 11 1 1297 390 160 18 2367 189 45 7 1 287 406 432 6903 11 1 1225 1107 34 370 22 97 5 1054 168 10 777 13 23 1182 4336 46 138 1593 3494	3
85 34 2 354 85 3922 0 0 19 9 148 14 202 29 5 748 4 208 629 198 570 121 3 2465 4 342 7 247 12 21 5704 5 52 267 41 1 4590 0 121 656 11 629 191 160 18 25 195 709 297 11 1300 249 28 93 194 2052 3628 3371 74 1 3761 2369 183 21 318 5 669 64 5 55 202 237 6233 0 14 69 1108 8 62 41 7 106 1368 19 235 65 522 4 1055 10 194 11 4 1221 237 925 2 10 1 3762 3923 55 82 486 4591 2 930 93 39 60 19 62 1689 1720 302 4 0 2760 148 4 94 27 1689 1720 11 17 839	4
3 165 23 5 135 12 1871 1 0 11 1 2466 0 3763 1872 6234 1973 6234 9 14 202 83 7 189 5705 1841 1183 37 269 65 2761 6 4 0 220 87 1 82 134 552 5 12 1 0 2138 3248 2 6234 9 45 7 256 261 3 105 722 62 682 621 557 787 30 33 222 33 384 309 5706 7 349 1 2184 26 351 2 26 67 1240 5 657 1534 87 5 946 647 2053 2184 38 13 48 84 15 794 13 151 167 12 1 794 26 4 80 4132 597 10 1 290 28 3 241 58 82 1896 1 295 9 351 390 11 1 382 39 11 39 17 9 45 7 14 2092 1086	5
1650 0 3 77 366 2 471 200 7 14 369 5 1011 19 21 39 312 6 149 210 31 36 780 520 2 1037 7 235 10 1 366 5 758 15 39 7 256 878 483 1 1772 881 8 430 127 2 1 1773 20 6 8 170 1 593 225 415 35 1 91 3 23 172 25 1 368 1873 8 27 16 4 80 76 1029 10 14 238 14 461 182 12 1 1226 96 206 92 527 8 1 91 96 206 172 166 347 452 8 170 14 8986 903 25 1 536 1075 599 2 1354 913 65 25 368 350 1610 3249 2 7 349 1075 599 12 8 43 233 16 36 1 69 6904 32 1 214 509 0 24 178 16 3 23 25 97 120 34 8 69 45 4894 2 207 183 2 12 8 1301 20 1 82 193 7 1 899 289 183 7 2762 2 1 6905 3924 47 8 70 271 305 1 6906 1219 26 1 210 149 31 2 7 349 585 7 235 10 366 5 758 2 1897 0	4
3 8 224 10 4 29 192 3 105 48 146 2216 2 62 808 723 12 8 613 203 1568 34 9 62 5259 3925 59 2 2370 740 1227 7 237 292 260 20 3629 2422 3 2763 112 11 10 134 146 2216 16 571 51 321 515 146 2216 160 39 2216 32 1 1094 664 50 53 3 845 1 537 2858 3 111 321 4 1968 8987 20 1 2216 65 9 4 27 190 1134 1 706 7 1 8988 2216 6 232 57 1874 221 5 48 1 515 146 2216 4133 11 1068 5 62 808 723 3 1004 15 3630 2 89 1671 240 391 59 50 0 14 2216 5 3926 1 91 2216	4
77 77 77 17 765 371 14 323 3372 8989 3 893 4 187 7 54 30 17 765 2 11 1 2185 195 879 0 2 879 0 32 351 43 2592 2 534 5 793 5 3 1569 84 0 33 18 117 169 5 3246 195 421 2 14 983 32 81 951 376 7 3 23 160 508 879 0 10 4 409 1461 5707 9 43 214	5
107 406 1814 2 72 0 650 3 401 35 8990 6 53 3 447 333 1 542 0 2764 7 4895 6 9 85 300 5 1288 373 245 1690 52 11 2 1012 220 8991 1633 2 2217 57 315 14 203 2093 15 39 6907 5260 33 598 33 3 2009 1 8992 46 164 354 34 284 3 227 416 0 5708 5709 13 47 167 58 8993 80 0 50 4892 5 1302 7812 1519 1069 85 4 401 160 1774 24 158 281 870 440 321 4337 284 833 647 11 647 15 1691 0 542 0 6908 0 0 6235 3 85 317 224 2 285 4896 164 3 234 1633 127 2 904 57 192 46 60 3 415 48 10 4 1411 0 10 40 185	4
17 29 9 36 1 130 9 28 431 996 1845 616 2 27 143 344 6 45 7 14 52 5 261 10 785 1 558 26 351 15 4 2423 596 7 233 931 5 569 50 1 1171 1846 956 2 204 5 476 1046 204 2 14 202 214 983 5261 214 803 1 1184 7 1 98 9 289 2 1214 2093 15 467 7 1775 4592 2 34 9 4 366 758 183 2 818 19 5 614 859 2 359 410 298 11 1 328 46 147 6 5 52	4
38 13 3927 819 1185 1182 290 130 119 6909 19 227 35 30 1 287 7 63 538 17 9 4 2467 130 186 11 1 388 2 14 320 79 66 125 10 249 6909 19 1143 4 36 100 207 538 2 229 18 480 62 240 3239 4593 142 264 4 289 207 139 2 129 1896 968 130 10 519 984 60 4 3250 71 22 1055 17 29 51 6 19 226 6	5
5693 3 77 13 60 2 122 117 13 3251 83 13 26 359 4 0 13 1022 13 23 39 212 10 1 2593 88 10 14 2593 6910 14 2593 169 16 53 3 1228 107 871 20 4 0 977 858 5252 28 2946 4134 48 559 107 20 1 559 11 1 724 20 217 402 2186 63 0 2 0 0 5710 1172 2669 40 41 2 3 8994 217 5693 4135 728 3034 24 258 24 584 89 2594 3626 14 455 162 117 89 42 322 40 3626 14 455 140 44 1213 1172 3252 606 13 60 14 455 9 1971 15 60 13 1123 155 695 611 44 97 3 0 30 403 2 2525 3 8 11 62 1815 2139 658 180 40 14 959 10 4338 83 3 182 72 14 250 182 714 13 33 21 313 2 89 251 6911 5262 72 714 13 64 178 178 178 16 3 77 1 4338 2 1 109 1013 11 1 2010 2 1074 183 28 189 1690 1337 4 129 10 12	2
407 4 759 2011 29 11 1076 12 396 22 99 76 329 405 1118 126 5 658 15 323 413 566 381 2 1369 53 1370 3 101 1 610 19 218 50 49 142 100 1974 3124 1551 11 283 519 2218 218 15 2526 8995 124 2 654 1338 3 1276 61 23 387 1 2526 1594 605 1 8995 124 46 2765 15 1 4594 804 6 8 76 3253 0 20 1 287 1144 16 6 9 1 610 19 218 2 38 12 19 126 89 1768 6 119 12 19 1 123 6 227 35 336 303 2 1 654 1338 26 219 1 59 8 2527 2 109 1 31 136 41 1014 360 2 204 6 61 23 66 78 38 13 105 939 1 340 6 8 42 76 271 3 73 161 140 64 2 99 82 100 486 2 3 492 241 0	4
6 19 37 4 533 2595 7813 818 6912 11 4 3764 7814 164 78 727 914 3495 3 1816 5 2859 1744 602 1 432 10 4 557 121 1847 6236 766 3 104 126 5 547 2 3 454 37 3 8 20 62 6237 7 1 8996 57 5 86 4 647 5 647 5263 499 517 9 332 265 264 20 1 298 1289 8 969 626 28 3 477 12 19 39 12 3631 254 1934 1403 16 27 1634 321 273 107 0 0 0 2766 14 5264 0 408 41 113 158 13 506 20 4 1635 34 26 254 213 2 702 11 1 3373 4595 41 63 0 5252 2 0 5 1 1776 2 13 151 35 39 27 254 2528 5 2 50 1 882 3125	3
17 29 9 28 337 6 9 171 161 24 4 1745 1265 414 6 3632 64 11 1 631 1 31 2 248 26 27 16 171 7 39 3 37 12 3 47 447 14 493 44 5 48 248 2 1 4113 20 1 621 3 482 12 34 32 67 261 12 1935 2940 298 1 308 47 35 4 2529 2 1 698 2 2140 51 7 31 47 35 6913 16 258 13 48 3254 17 9 4 27 29 5 259	4
4136 4136 191 3126 19 1672 191 4339 3 68 66 4 242 364 7 3126 19 10 249 2 25 790 0 53 3 620 12 18 32 2219 1 191 186 2 1070 42 159 1 432 605 49 3928 801 420 4339 16 93 45 259 3 75 1609 4339 79 1 277 202 335 12 3126 19 25 834 826 536 1570 825 218 149 1746 820 225 1095 483 2 18 23 4 242 223 538 33 81 59 9 563 2 214 689 0 122 8 55 393 198 121 689 70 10 125 847 2 1484 2 3929 7815 6914 10 55 181 850 2054 1 4339 475 117 4 856 512 925 17 146 98 6 19 95 4 36 780 520 183 4 242 110 62 219 223 6238 2 1613 1535 310 33 81 38 13 148 138 1 237 420 3126 19 1 186 11 260 4137 3121 9 148 314 16 3 492 241 1173 41 4339 5 723 6 51 42 4 177 1199 5 191 4339 2 1936 10 40 103 5 294	4
318 5 52 10 1355 129 10 4 490 179 17 54 3 263 1 31 2 59 5 35 3623 5 55 198 156 1 346 2 3 831 1 1071 1266 2317 1116 2 3 155 281 6 9 49 1844 290 6 8 28 27 12 3 73 24 35 1868 185 54 21 70 25 1 0 796 2947 17 9 786 406 10 4 197 341 16 6 8 856 21 25 1 0 334 204 368 5 860 6 8 4 5 947 10 434 4 368 1446 1267 1502 2055 15 1200 6239 2 4 368 1200 1056 327 1029 3930 39 27 212 55 266 8 240 50 496 5 860 17 54 3 111 3765 21 73 495 42 284 24 30 142	4
407 0 297 50 14 1093 206 46 574 279 783 2 101 1 295 710 1571 6 8 27	4
21 25 179 44 371 55 6915 1412 0 6 8 14 103 54 30 0 2 3 8 161 521 15 1 269 7 49 31 2 391 59 3 25 1 2056 3127 15 599 4897 1145 65 8 170 21 831 1 574 0 1636 10 524 65 8 199 36 518 1 2530 32 56 149 3 75 904 7 679 14 905 5 1 8997 186 107 3255 154 621 17 417 47 22 162	4
17 29 9 63 1057 1114 11 1 731 710 18 68 95 27 805 710 2 775 549 10 425 165 1 2767 9 161 1595 16 67 270 8998 2318 0	3
132 31 170 1519 19 2 355 1095 173 290 3 23 627 44 79 66 265 604 7 219 103 5 496 18 23 283 3931 2371 8999 13 47 155 1 8999 0 20 1 110 53 13 447 11 702 26 24 1404 888 1 0 9000 9 85 2371 28 2768 20 1 54 7 417 13 73 48 233 212 1 4138 9 278 2 490 28 13 47 56 238 1 1158 16 148 48 1 2094 1 277 9 819 15 1 1264 1 128 8 149 2 1 1339 616 7 299 4138 168 6 8 278 33 305 33 732 52 1 550 26 544 1047 2 694 1 648 9 544 430 2 4596 15 841 13 569 20 1 100 3 77 1 9001 7 58 2 1 7816 7 637 407 798 79 85 66 27 99 1 0 1692 46 145 270 7 1268 2 13 973 345 22 35 422	5
93 4 222 378 7 194 7817 11 4 2860 235 3 56 56 481 5 35 298 6916 1817 1085 5 338 40 64 11 14 1133 163 29 17 307 9 43 1413 2 47 48 56 771 20 1257 3 276 5 317 4 80 177 7 9002 28 3 530 33 1 1124 8 9003 27 518 34 32 69 4 133 637 168 20 17 3128 501 1 150 1501 1818 9 62 41 2 64 3256 15 228 2769 2 9004 5 440 6 739 37 4 0 16 120 83 13 729 22 11 4 1096 7818 185 5 58 6917 6918 457 1 81 3257 2861 9 576 7819 28 13 47 722 67 54 1693 1 542 1875 628 6240 20 192 13 26 4597 10 256 12 138 5 147 49 54 2 1819 4 80 34 26 197 2141 617 1 3256 12 4139 1315 3633 33 81 33 134 720 1673 15 7820 5 427 13 1 2531 7 1 3374 13 47 155 11 1 1590 48 51 52 298 13 73 77 6 33 97 33 3 86	5
21 42 239 17 41 17 787 1870 142 30 857 2142 185 404 6 19 4 1277 59 997 373 192 13 451 74 1 4598 258 13 68 932 63 3766 1 1811 1146 1 1057 1170 2 368 16 70 392 946 1811 37 1689 1572 2 334 1552 32 70 684 18 480 4 238 7 145 7 1 1066 2 13 47 865 1553 1290 7 7821 11 63 3496 18 70 480 4 573 7 1057 997 373 715 10 63 3766 3 25 4 1058 7 1 1689 1572 2 1848 7821 15 4 342 7 715 1 997 692 8 1898 1039 2 81 1694 21 151 1303 35 3035 74 44 11 1 1297	5
28 3 111 62 2948 3375 44 30 17 675 10 4 133 2012 21 77 49 11 283 131 657 1304 18 23 4 27 253 7 358 2013 0 2468 2 1159 979 2 38 3 75 1651 0 1503 49 201 47 22 35 940 70 49 2317 0 9 56 27 2 425 2 49 1614 150 9005 26 94 969 27 245 28 44 9 192 1 2424 444 11 1 205 2424 14 346 2 3 304 5 52 2469 10 244 3 165 285 106 667 6919 212 37 1005 1135 382 71 22 48 97 0 87 252 11 4 657 980 81 1 198 54 21 117 17 3 263 14 252 655 162 10 6 5 35 1 1299 764 2 5265 3 25 1030 252 16 3 25 749 7 6 12 32 764 2 5265 72 9006 1975 3 275 6 8 4 5711 7 1 1031 16 3 6241 6920 6 2 9007 6921 12 1356 8 764 2 5265 3 930 2143 297 14 290 2 115 23 3 160 101 252 50 49 460 193 12 194 182 3 68 70 1242 67 9008 11 1651 1119 44 24 5 1006 37 4 3129 16 13 2264 3 75 24 1651 14 185 597 7 295 44 3 75 291 15 49 2468 2 49 1614 2 1304 2 359 16 38 6 444 5 252 3 75 41 1 404 3 97 915 2862 19 1136 675 1 418 1136 675	2
21 2265 850 17 80 29 11 4 3634 802 539 74 4140 16 6 571 51 194 4 43 163 4140 361 6 9 819 12 1 441 73 24 35 0 1 6242 7 1573 4599 2220 598 16 17 9 4 243 72 3036 272 7 29 34 9 70 72 502 11 408 44 38 13 26 3130 10 54 83 6 9 24 360 31 74 145 3932 7 1 5712 171 2532 1 31 9 27 56 27 1 1401 401 23 1245 160 82 2095 1028 83 34 8 72 0 20 1 100 169 9 11 1536 3 25 1 2533 341 2 14 2534 25 1 998 4600 2 279 195 757 136 15 4 355 4141 331 12 3 23 25 30 0 175 174 16 17 45 8 28 97 120 1 2533 341 136 15 2533 7 349 4 5266 139 857 12 397 821 2 58 7 1 0 949 3 68 172 25 6 8 4 242 596 7 31 16 6 8 28 27 12 3 8 4340 5 106 62 459 193 7 949 5 52 15 1 1537 1 998 8 1045 43 210 70 3 75 24 97 7 4 998 364 28 3 116 22 99 6 1 4142 279 8 43 210 176 43 2014 15 175 233 513 16 1256 7 84 32 2096 30 488 984 10 1 2533 2 636 984 10 1 998 341 1 201 26 67 87 586 390 53 13 1246 12 274 827 47 906 413 51 194 134 757 3 1174 12 3 111 4898 5 900 3497 31 2 1876 1229 4 2533 12 3 3258 16 17 8 161 45 7 1 120 6243 7 1 1319 11 1 2097 191 183 3 73 161 35 64 2 284 185 54 3 151 99 1 96	4
